district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,lat,lon
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Irmo High School,3205039,H,6671 St. Andrews Road,Columbia,SC,29212,9-12,1216,803-476-3000,https://www.lexrich5.org/Domain/28,Dr. Robin L. Hardy,102,,34.0505507,-81.1027688
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Irmo Middle School,3205040,M,6051 Wescott Road,Columbia,SC,29212,6-8,964,803-476-3600,www.lexrich5.org/ims,Danielle Major-Murphy,75,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Chapin Elementary School,3205041,E,940 Old Bush River Rd.,Chapin,SC,29036,PK-4,863,8035755900,https://www.lexrich5.org/Domain/9,Jesse Hutchinson,62,,34.138414850000004,-81.34444787641743
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Dutch Fork Elementary,3205042,E,7900 Broad River Rd.,Irmo,SC,29063,PK-5,456,803-476-3900,https://www.lexrich5.org/dfes,Julius Scott,43,,34.1055216369189,-81.18682047301677
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Irmo Elementary,3205043,E,7401 Dustin Johnson Drive,Irmo,SC,29063,PK-5,547,803-476-4200,https://www.lexrich5.org/ies,Shannon Fincannon,43,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Leaphart Elementary School Steam Magnet,3205044,E,120 Piney Grove Road,Columbia,SC,29210,PK-5,433,803-476-4700,https://www.lexrich5.org/les,Courtney Sims,42,,34.05278545,-81.1556148325323
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Seven Oaks Elementary School Media Magnet,3205045,E,2800 Ashland Road,Columbia,SC,29210,PK-5,463,8034768500,www.lexrich5.org/soes,W. Christian English,47,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Crossroads Intermediate School,3205046,M,6949 St. Andrews Road,Columbia,SC,29212,6,708,803-476-8300,https://www.lexrich5.org/cris,Erin Doty,59,,34.0505507,-81.1027688
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Nursery Road Elementary School-Arts Magnet,3205047,E,6706 Nursery Road,Columbia,SC,29212,PK-5,423,803-476-4300,https://www.lexrich5.org/nres,Love Ligons,48,,34.1177892,-80.8232971
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Harbison West Elementary,3205048,E,257 Crossbow Drive,Columbia,SC,29212,PK-5,566,803-476-3800,https://www.lexrich5.org/hwes,Randy Norman,61,,34.08267045143082,-81.16523766979766
School District Five Of Lexington & Richland Count,Lexington 05,3205999,H. E. Corley Elementary School Leadership Magnet And Montessori M,3205049,E,1500 Chadford Rd.,Irmo,SC,29063,PK-5,546,8034764010,https://www.lexrich5.org/heces,Jason Pollock,56,,34.108956,-81.210671
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Chapin Intermediate School,3205050,E,1130 Old Lexington Hwy, Chapin,SC,29036,5-6,801,803 575 5700,https://www.lexrich5.org/cis ,Edward Davis,53,,34.1388331,-81.34130349394502
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Dutch Fork High School,3205051,H,1400 Old Tamah Rd,Irmo,SC,29063,9-12,1647,8034763300,https://www.lexrich5.org/dfhs,Gerald Gary,113,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Lake Murray Elementary School,3205052,E,1531 Three Dog Road,Chapin,SC,29036,K-4,894,803-476-4600,https://www.lexrich5.org/Domain/14,Kelly Reese,63,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,River Springs Elementary,3205053,E,115 Connie Wright Road,Irmo,SC,29063,PK-5,455,(803) 476-4400,https://www.lexrich5.org/rses,Matthew Gams,38,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Dutch Fork Middle School,3205054,M,1528 Old Tamah Road,Irmo,SC,29063,7-8,969,803-476-4800,https://www.lexrich5.org/dfms,Vernon Sava,71,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Ballentine Elementary School,3205055,E,1040 Bickley Road,Irmo,SC,29063,K-5,635,803-476-4500,www.lexrich5.org/bes,Robin W. Bright,47,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Oak Pointe Elementary,3205056,E,1 River Bottom Rd.,Irmo,SC,29063,PK-5,534,8034764100,https://www.lexrich5.org/opes,Kristie Smith,46,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Spring Hill High School,3205057,H,11629 Broad River Road,Chapin,SC,29036,9-12,1135,803-476-8700,www.lexrich5.org/shhs,Dr. Michael Lofton,86,,no_result,no_result
School District Five Of Lexington & Richland Count,Lexington 05,3205999,Chapin Middle School,3205058,M,11661 Broad River Road,Chapin,SC,29036,7-8,976,803-722-5500,https://www.lexrich5.org/cms,Anna M. Miller,68,,no_result,no_result
Mccormick County School District,McCormick 01,3301999,Mccormick High School,3301001,H,6981 SC Highway 28-S,McCormick,SC,29835,9-12,188,864-443-0040,https://mccormick.k12.sc.us,Gena K. Wideman,19,,no_result,no_result
Mccormick County School District,McCormick 01,3301999,Mccormick Middle School,3301002,M,6979 SC Highway 28-S,McCormick,SC,29835,6-8,187,864-443-2243,https://www.mccormick.k12.sc.us,Gena K. Wideman,11,,no_result,no_result
Mccormick County School District,McCormick 01,3301999,Mccormick Elementary School,3301003,E,6977 Hwy 28 S.,McCormick,SC,29835,PK-5,282,864-443-2292,https://es.mccormick.k12.sc.us/,Nynita Paul,21,,33.873342134876495,-82.27081559519388
Marion County School District,Marion 10,3410999,Marion High School,3410002,H,1205 South Main Street,Marion,SC,29571,9-12,644,843-423-2571,https://www.marion.k12.sc.us/Domain/10,Dr. Daris Gore,44,,34.16362531507639,-79.39699997032322
Marion County School District,Marion 10,3410999,Marion Intermediate School,3410004,E,2320 SC-41 ALT ,Marion,SC,29571,3-5,496,843-423-8345,https://www.marion.k12.sc.us/domain/1029,Mark Bunch,37,,34.2444132,-79.3351918
Marion County School District,Marion 10,3410999,Johnakin Middle School,3410007,M,601 Gurley Street,Marion,SC,29571,6-8,516,843.423.8360,https://www.marion.k12.sc.us/Domain/16,Mark C. Fraiser I,33,,34.169885,-79.389528
Marion County School District,Marion 10,3410999,Mullins High School,3410008,H,747 Millers Road,Mullins,SC,29574,9-12,553,843-464-3710,https://www.marion.k12.sc.us/Domain/11,Michael Stone,42,,34.20474634180396,-79.28050066549015
Marion County School District,Marion 10,3410999,Palmetto Middle School,3410009,M,305 O'Neal Street,Mullins,SC,29574,6-8,366,843-464-3730,www.marion.k12.sc.us/Domain/14,Dr. Regina J. Gilchrist,17,,no_result,no_result
Marion County School District,Marion 10,3410999,Mccormick Elementary School,3410010,E,1123 Sandy Bluff Road,Mullins,SC,29574,3-5,315,843-464-3760,https://www.marion.k12.sc.us/Page/23,Thomas M. Drew,22,,34.190989,-79.244229
Marion County School District,Marion 10,3410999,Creek Bridge Stem Academy,3410025,E,6641 Highway 41,Marion,SC,29571,PK-8,329,843-362-3500,https://www.marion.k12.sc.us/Domain/12,Stacy Wilbanks,26,,34.03899469530146,-79.33193293676814
Marlboro County School District,Marlboro 01,3501999,Mccoll Elementary Middle School,3501020,E,700 North Main Street,McColl,SC,29570,PK-8,635,843-523-5371,http://mem.marlboro.k12.sc.us/,Joy Rankin,41,,34.672603,-79.55343
Marlboro County School District,Marlboro 01,3501999,Clio Elementary School,3501023,E,2635 Highway 9 East,Clio,SC,29525,PK-5,249,(843) 586-9391,http://cem.marlboro.k12.sc.us/,Julia Cain,17,,no_result,no_result
Marlboro County School District,Marlboro 01,3501999,Wallace Elementary Middle School,3501025,E,3643 SC-9 West,Wallace,SC,29596,PK-8,444,843-537-7493,wem.marlboro.k12.sc.us,Mahilda Douglas,25,,no_result,no_result
Marlboro County School District,Marlboro 01,3501999,Marlboro County High School,3501026,H,951 Fayetteville Ave Ext.,Bennettsville,SC,29512,9-12,994,843-479-5900,https://mhs.marlboro.k12.sc.us/,Dr. Jamane Watson,55,,no_result,no_result
Marlboro County School District,Marlboro 01,3501999,Bleheim Middle School Of Discovery,3501027,M,143 Highland Street,Blenheim,SC,29516,6-8,573,843-439-3262,bem.marlboro.k12.sc.us,Dr. Dionne Vance,30,,34.507036,-79.65631
Marlboro County School District,Marlboro 01,3501999,Bennettsville Intermediate School,3501029,E,701 Cheraw Street ,Bennettsville,SC,29512,4-5,225,843-479-5941,http://bis.marlboro.k12.sc.us/,Crystal Halma,15,,34.62467,-79.691396
School District Of Newberry County,Newberry 01,3601999,Newberry High School,3601001,H,3113 Main Street ,Newberry,SC,29108,9-12,686,(803)321-2621,www.newberryhs.org,Amanda Finley,51,,34.28447835,-81.58372292714945
School District Of Newberry County,Newberry 01,3601999,Mid-Carolina High School,3601002,H,377 Cy Schumpert Rd,Prosperity,SC,29127,9-12,754,803-364-2134,https://www.mid-carolinahighschool.org/,Ray Cooper,42,,no_result,no_result
School District Of Newberry County,Newberry 01,3601999,Whitmire Community School,3601004,H,2597 SC Hwy 66,Whitmire,SC,29178,6-12,279,803-694-2320,https://www.newberry.k12.sc.us/o/wcs,Allison K. Stribble,12,,no_result,no_result
School District Of Newberry County,Newberry 01,3601999,Boundary Street Elementary,3601005,E,1406 Boundary Street,Newberry,SC,29108,PK-5,471,803-321-2616,boundarystreet.org,Joy C. Fore,38,,34.2725159,-81.61585659865305
School District Of Newberry County,Newberry 01,3601999,Gallman Elementary School,3601008,E,255 Hawkins Road,Newberry,SC,29108,PK-5,442,8033212655,https://www.gallmangators.org/,Nikki Hunter,36,,34.249507,-81.6173018
School District Of Newberry County,Newberry 01,3601999,Pomaria-Garmany Elementary School,3601009,E,7288 U.S. Hwy 176,Pomaria,SC,29126,PK-5,323,803-321-2651,https://www.pomaria-garmany.org/,Lindsey Folk,27,,no_result,no_result
School District Of Newberry County,Newberry 01,3601999,Little Mountain Elementary School,3601010,E,692 Mill Street,Little Mountain,SC,29075,PK-5,392,803-945-7721,https://www.newberry.k12.sc.us/o/little-mountain,Kimberly Stockman Mack,29,,34.1965976,-81.415108
School District Of Newberry County,Newberry 01,3601999,Reuben Elementary,3601015,E,3605 Spearman Road,Newberry,SC,29108,PK-5,135,803-321-2664,https://www.reubenes.org/o/reuben,Michael Stroud,10,,34.2408494,-81.7065278
School District Of Newberry County,Newberry 01,3601999,Newberry Elementary School,3601018,E,1829 Nance Street ,Newberry,SC,29108,PK-5,427,803-321-2670,https://www.newberryes.org/,Stacy Farr,30,,34.2798851,-81.62687492147938
School District Of Newberry County,Newberry 01,3601999,Mid-Carolina Middle School,3601019,M,6794 US Highway 76,Prosperity,SC,29127,6-8,552,803-364-3634,mcmiddle.org,Deedee Westwood,47,,no_result,no_result
School District Of Newberry County,Newberry 01,3601999,Newberry Middle,3601020,M,125 O'Neal Street,Newberry,SC,29108,6-8,685,803-321-2640,www.newberrymiddleschool.org,Kimberly Shelton-Hamilton,52,,34.26723,-81.63543270436227
School District Of Newberry County,Newberry 01,3601999,Whitmire Community School,3601021,E,2597 SC HWY 66,Whitmire,SC,29178,PK-5,240,803-694-2320,https://www.newberry.k12.sc.us/o/wcs,Allison K. Stribble,27,,no_result,no_result
School District Of Newberry County,Newberry 01,3601999,Prosperity-Rikard Elementary School,3601022,E,381 South Wheeler Ave,Prosperity,SC,29127,PK-5,374,803-364-2321,https://www.prosperity-rikardes.org/o/pre,April B. Peel,29,,34.2121831,-81.52367425396181
School District Of Oconee County,Oconee 01,3701999,Seneca Senior High School,3701005,H,100 Bobcat Ridge,Seneca,SC,29678,9-12,996,864-886-4460,https://sites.google.com/a/g.oconee.k12.sc.us/seneca -high-school/,Felicia LeRoy,52,,34.675290399999994,-82.9881889285497
School District Of Oconee County,Oconee 01,3701999,Walhalla Middle School,3701006,M,151 Razorback Lane,Wallhalla,SC,29691,6-8,797,864-886-4485,wms.sdoc.org,Scott Dixon,59,,no_result,no_result
School District Of Oconee County,Oconee 01,3701999,Walhalla High School,3701007,H,4701 North Highway 11,Walhalla,SC,29691,9-12,1151,8648864490,School Website Address * https://sites.google.com/a/g.oconee.k12.sc.us /walhalla-high-school/,Steve Garrett,60,,34.8165242,-83.04063579580637
School District Of Oconee County,Oconee 01,3701999,West-Oak High School,3701008,H,130 Warrior Lane,Westminster,SC,29693,9-12,811,864-886-4530,www.oconee.k12.sc.us/WestOakHS.cfm,Dr. Brandon T. Blackwell,48,,34.62112569999999,-83.05329468110526
School District Of Oconee County,Oconee 01,3701999,Keowee Elementary School,3701012,E,7051 Keowee School Road,Seneca,SC,29672,PK-5,360,864-886-4475,http://kes.oconee.k12.sc.us/,Joshua Holliday,29,,34.7875425,-82.96039155566336
School District Of Oconee County,Oconee 01,3701999,Northside Elementary School,3701013,E,710 N. Townville Street,Seneca,SC,29678,PK-5,619,8648864445,https://sites.google.com/a/g.oconee.k12.sc.us /northside-elementary/,Geoffrey Smith,50,,34.69500505,-82.9567148750873
School District Of Oconee County,Oconee 01,3701999,James M. Brown Elementary School,3701016,E,225 Coffee Road,Walhalla,SC,29691,PK-5,579,864-718-4200,http://jmb.sdoc.org/,Ashley S. Robertson,56,,34.7628981,-83.08192283500415
School District Of Oconee County,Oconee 01,3701999,Ravenel Elementary School,3701017,E,150 Ravenel School Road,Seneca,SC,29678,PK-5,556,864-886-4450,http://www.oconee.k12.sc.us/,Robin R Cox,42,,34.6851652,-82.89569397191718
School District Of Oconee County,Oconee 01,3701999,Tamassee-Salem Elementary School,3701020,E,9950 N. HWY 11,Tamassee,SC,29686,PK-5,190,864-886-4540,https://sites.google.com/a/g.oconee.k12.sc.us /tamassee-salem-elementary/,Bobby Norizsan,22,,34.88590595,-83.01568742984415
School District Of Oconee County,Oconee 01,3701999,Walhalla Elementary School,3701022,E,508 Fowler Road,West Union,SC,29676,PK-5,594,864-886-4480,http://wae.oconee.k12.sc.us/,Christi Hartsock,46,,34.77819745,-83.03232006621363
School District Of Oconee County,Oconee 01,3701999,Westminster Elementary,3701023,E,206 Hamilton Dr,Westminster,SC,29693,PK-5,384,864-886-4520,sdoc.org,Sherrie McAllister,38,,34.6769993,-83.08513019293105
School District Of Oconee County,Oconee 01,3701999,Seneca Middle School,3701026,M,810 West South 4th Street,Seneca,SC,29678,6-8,859,864-886-4455,www.sms.sdoc.org,Darrell McDowell,59,,34.675722199999996,-82.97008800570049
School District Of Oconee County,Oconee 01,3701999,Fair-Oak Elementary School,3701027,E,1964 Oakway Road,Westminster,SC,29693,PK-5,562,864-886-4505,https://sites.google.com/a/g.oconee.k12.sc.us/fair-oak/,David W. Thompson,49,,34.57929585,-83.0209934779266
School District Of Oconee County,Oconee 01,3701999,Orchard Park Elementary School,3701028,E,600 Toccoa Highway,Westminster,SC,29693,PK-5,442,864-718-4300,https://sites.google.com/a/g.oconee.k12.sc.us/orchard -park-elementary/home,Josh Wittrock,39,,34.6703667,-83.11335531579445
School District Of Oconee County,Oconee 01,3701999,West-Oak Middle School,3701030,M,501 Westminster Hwy,Westminster,SC,29693,6-8,679,864-886-4425,www.sdoc.org,April Gambrell,50,,34.677335299999996,-83.09171765039076
School District Of Oconee County,Oconee 01,3701999,Blue Ridge Elementary School,3701031,E,995 South Oak Street,Seneca,SC,29678,PK-5,589,864-886-4550,https://sites.google.com/a/g.oconee.k12.sc.us/blue -ridge-elementary/,Stephanie Hammond,49,,34.66924950000001,-82.95552070082
Orangeburg County School District,Orangeburg,3809999,Bethune-Bowman Middle/High,3809010,H,4857 Charleston Hwy.,Rowesville,SC,29133,6-12,360,803-516-6011,www.ocsdsc.org/BethuneBowmanMH,Lakekia J. Lewis,20,,no_result,no_result
Orangeburg County School District,Orangeburg,3809999,Bethune-Bowman Elementary,3809012,E,4857 Charleston Hwy.,Rowesville,SC,29133,PK–5,277,803-533-6371,www.ocsdsc.org/BethuneBowmanES,Lakekia J. Lewis,18,,no_result,no_result
Orangeburg County School District,Orangeburg,3809999,Holly Hill-Roberts Middle,3809018,M,530 Hesseman Ave,Holly Hill,SC,29059,6-8,459,803-496-5197,https://www.ocsdsc.org/,"Robert M. Hemby, II",31,,33.31983705869273,-80.40041769817408
Orangeburg County School District,Orangeburg,3809999,Holly Hill Elementary School,3809019,E,1490 Brant Ave.,Holly Hill,SC,29059,PK–5,367,803-496-3464,https://www.ocsdsc.org/Domain/14,Johnnie Smith Jr.,28,,33.331983693140494,-80.42121560982679
Orangeburg County School District,Orangeburg,3809999,St. James-Gaillard Elementary,3809021,E,"1555 Gardensgate Road Eutawville, South Carolina",Eutawville,SC,29048,PK–5,251,(803) 492-7927,https://www.sjges.ocsdsc.org/,Keonia L. Gilliard,15,,no_result,no_result
Orangeburg County School District,Orangeburg,3809999,Vance-Providence Elementary,3809022,E,633 Camden Road,Vance,SC,29163,PK–5,216,803-492-7766,www.ocsdsc.org/VanceProvidenceES,LaTonya Durant,15,,33.43110295792782,-80.4214896963966
Orangeburg County School District,Orangeburg,3809999,Edisto High School,3809024,H,500 RM Foster Dr,Cordova,SC,29039,9–12,639,803-536-1553,https://www.ocsdsc.org/EdistoHS,Alexis King,38,,no_result,no_result
Orangeburg County School District,Orangeburg,3809999,Carver-Edisto Middle School,3809025,M,2018 Carver School Road,Cope,SC,29038,6–8,611,803-534-3554,https://www.ocsdsc.org/CarverEdistoMS,Karen F. James,33,,no_result,no_result
Orangeburg County School District,Orangeburg,3809999,Robert E. Howard Middle School,3809027,M,1255 Belleville Road,Orangeburg,SC,29115,6–8,421,803-534-5470,www.ocsdsc.org/HowardMS,Dr. Sharon F. Hampton,22,,33.5007089,-80.8406472
Orangeburg County School District,Orangeburg,3809999,Orangeburg-Wilkinson,3809028,H,601 Bruin Parkway,Orangeburg,SC,29118,9-12,1111,803-534-6180,https://www.ocsdsc.org/Page/69,Rahim El-Amin,50,,no_result,no_result
Orangeburg County School District,Orangeburg,3809999,Marshall Elementary School,3809034,E,1441 Marshall Street ,Orangeburg,SC,29118,PK–5,680,803-534-7865,https://www.ocsdsc.org/Domain/17,Dyisha R. Taylor,35,,33.520770187238774,-80.86043828684853
Orangeburg County School District,Orangeburg,3809999,Brookdale Elementary School,3809036,E,394 Brookdale Drive.,Orangeburg,SC,29115,PK–5,280,803-534-5982,https://www.ocsdsc.org/Domain/9,LaTonya L. Nelson,19,,33.50774136734694,-80.82828271428572
